==PROF== Connected to process 13626 (/usr/bin/python3.9)
==PROF== Disconnected from process 13626
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","13626","python3.9","127.0.0.1","13626  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn","1","7","(256, 1, 1)","(64, 128, 3)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/1","15.83"
"0","13626","python3.9","127.0.0.1","13626  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn","1","7","(256, 1, 1)","(64, 128, 3)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","3,254,910,976"
"0","13626","python3.9","127.0.0.1","13626  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn","1","7","(256, 1, 1)","(64, 128, 3)","0","8.9","Command line profiler metrics","sm__sass_inst_executed_op_global_ld.sum","inst","4,325,376"
"0","13626","python3.9","127.0.0.1","13626  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn","1","7","(256, 1, 1)","(64, 128, 3)","0","8.9","Command line profiler metrics","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","%","99.66"
